Time;Video4_EmbryoA;Video6_EmbryoB;Video9_EmbryoC;Video10_EmbryoD;Video11_EmbryoE;Video17_EmbryoF;Video18_EmbryoG;Video19_EmbryoH;Video20_EmbryoI;Video221_EmbryoJ1;Video231_EmbryoK1;Video15_EmbryoL;Video16_EmbryoM;Video222_EmbryoJ2;Video232_EmbryoK2
1.55;0.243113057;0.243218381;0.229448762;0.252261483;0.269480084;0.230965806;0.38494301;0.228194217;0.247847773;0.256359213;0.230965806;0.242536005;0.261945248;0.243341724;0.09643464
1.6;0.255908481;0.23157181;0.240739647;0.252261483;0.26752984;0.230965806;0.397774444;0.22702014;0.241169471;0.252015773;0.230965806;0.246630263;0.266516655;0.243431544;0.098981679
1.65;0.262306193;0.23830322;0.239148659;0.251222208;0.271680524;0.24379724;0.404190161;0.234103092;0.253788319;0.258123536;0.230965806;0.244978194;0.269697657;0.252188998;0.10023916
1.7;0.255908481;0.238498185;0.235132696;0.251998457;0.269480084;0.230965806;0.391358727;0.230542369;0.25032407;0.250745461;0.224550089;0.245835012;0.27533624;0.253266838;0.098981679
1.75;0.262306193;0.240827499;0.239661881;0.251786753;0.275670825;0.237381523;0.410605878;0.23816424;0.250240671;0.258194108;0.230965806;0.242489829;0.277352584;0.246992267;0.097441907
1.8;0.275101617;0.244531827;0.241759676;0.248136461;0.281771753;0.24379724;0.38494301;0.232120635;0.250240671;0.263679546;0.224550089;0.24581962;0.267594091;0.24701793;0.230619357
1.85;0.371067297;0.246394253;0.24220233;0.252447526;0.279892077;0.237381523;0.397838601;0.235610785;0.250766724;0.270685509;0.237381523;0.239980942;0.266598746;0.247967456;0.23310224
1.9;0.371067297;0.24589658;0.237961833;0.254763441;0.288161368;0.359280143;0.38494301;0.240403326;0.248136461;0.267599549;0.340032992;0.244177813;0.269995235;0.247973872;0.220662165
1.95;0.371067297;0.248810788;0.237256152;0.252588662;0.284895992;0.352864426;0.391358727;0.231068458;0.252800366;0.265424621;0.346448709;0.237523362;0.264166818;0.246992267;0.226988062
2;0.377465009;0.239226737;0.233548123;0.256534057;0.282791782;0.352864426;0.410605878;0.2375355;0.255186849;0.26277493;0.359280143;0.240011726;0.272678564;0.248615443;0.229336214
2.05;0.371067297;0.250832264;0.233066977;0.263841056;0.288494962;0.359280143;0.404190161;0.240146697;0.254012853;0.268369435;0.359280143;0.245229596;0.265331476;0.249045296;0.226936736
2.1;0.364669585;0.248810788;0.242657815;0.263584445;0.287660976;0.352864426;0.410605878;0.240987156;0.257105016;0.266181676;0.36569586;0.240068163;0.266244731;0.249359666;0.229451697
2.15;0.377465009;0.251273499;0.239828678;0.259722449;0.291567879;0.359280143;0.513321504;0.237343029;0.255129111;0.25762311;0.372111577;0.2391703;0.265115988;0.249385329;0.231876838
2.2;0.364669585;0.253120533;0.243677844;0.260299824;0.283016316;0.36569586;0.519673064;0.237214714;0.259606974;0.262717189;0.359280143;0.241935719;0.267537654;0.238914879;0.228053071
2.25;0.377465009;0.255973173;0.238494301;0.258882048;0.28659604;0.359280143;0.538920214;0.35231909;0.259606974;0.268042234;0.36569586;0.23940631;0.269646351;0.237862702;0.225108257
2.3;0.358271873;0.25752776;0.232701306;0.263424063;0.295372138;0.346448709;0.538920214;0.346031688;0.255084204;0.272873269;0.359280143;0.241935719;0.263581924;0.243335308;0.229034675
2.35;0.377465009;0.265321214;0.336487642;0.265553935;0.28253517;0.36569586;0.545335931;0.349528253;0.255578181;0.267394246;0.359280143;0.238046688;0.274776999;0.235822504;0.227045803
2.4;0.383862721;0.259077215;0.351634108;0.260697571;0.293460386;0.359280143;0.519737221;0.351793001;0.255584596;0.27284119;0.378527293;0.241915197;0.262247956;0.245606472;0.225082594
2.45;0.358271873;0.25824092;0.35051785;0.257611823;0.292607154;0.359280143;0.532504498;0.36015268;0.252710552;0.27306574;0.36569586;0.238072341;0.270657088;0.38082412;0.227045803
2.5;0.377465009;0.260339355;0.356573871;0.263841056;0.292741875;0.36569586;0.532504498;0.357573562;0.260081704;0.259573488;0.372111577;0.23418331;0.271806354;0.388555059;0.225056931
2.55;0.390260433;0.25429032;0.348420055;0.263841056;0.303628598;0.359280143;0.526088781;0.360345152;0.261640617;0.266611529;0.359280143;0.234116611;0.269256421;0.386181244;0.229060338
2.6;0.396658145;0.265470003;0.35353303;0.266875482;0.453001884;0.359280143;0.519737221;0.362443091;0.265842622;0.276158116;0.372111577;0.235481364;0.262961116;0.383878001;0.236091964
2.65;0.531010098;0.262976508;0.355431952;0.267446441;0.45197544;0.36569586;0.513257347;0.357894348;0.262930087;0.267394246;0.359280143;0.23671785;0.266768057;0.386206907;0.231087705
2.7;0.53740781;0.267794187;0.354014176;0.26067191;0.445945081;0.36569586;0.519673064;0.352742528;0.387559654;0.269780893;0.378527293;0.240668449;0.268625352;0.379919504;0.228393104
2.75;0.556600946;0.279712683;0.364400508;0.263841056;0.45557441;0.359280143;0.526088781;0.365092782;0.386462642;0.280565713;0.378591451;0.243192728;0.271406163;0.387271916;0.232056478
2.8;0.543805522;0.272611865;0.362527247;0.271558633;0.45557441;0.36569586;0.526088781;0.362622731;0.388938938;0.379451157;0.359280143;0.240606881;0.27019533;0.383589294;0.239107351
2.85;0.543805522;0.27288379;0.364881653;0.26996123;0.467943062;0.378527293;0.519673064;0.361673205;0.384307109;0.384397674;0.378527293;0.243213251;0.270236375;0.383614957;0.243110758
2.9;0.556600946;0.275864696;0.364734102;0.270192179;0.458666573;0.372111577;0.545335931;0.375107716;0.390356714;0.389626484;0.378591451;0.241904936;0.393407848;0.38359571;0.241089807
2.95;0.543805522;0.275705646;0.369295363;0.391479388;0.464607119;0.38494301;0.532504498;0.367594912;0.390305392;0.399955788;0.36569586;0.241899805;0.393115401;0.382363892;0.23811933
3;0.543805522;0.27288379;0.371758829;0.395290062;0.46451089;0.38494301;0.538920214;0.372894294;0.387399272;0.397248355;0.372111577;0.378082602;0.391550554;0.385892536;0.370866928
3.05;0.543805522;0.408394472;0.369968967;0.394853823;0.461624015;0.372111577;0.532504498;0.367383193;0.383986345;0.391596109;0.372111577;0.389785611;0.389564993;0.384320686;0.368788235
3.1;0.537471787;0.408979366;0.37526157;0.399517728;0.464607119;0.513257347;0.551751648;0.370032884;0.393891531;0.389446844;0.378527293;0.388451642;0.388236155;0.384352764;0.365843421
3.15;0.543805522;0.399190089;0.37909149;0.40001812;0.472228467;0.519673064;0.538920214;0.37021894;0.39129976;0.399513103;0.378527293;0.38843625;0.392422764;0.388240689;0.37080277
